date,price,drought,hot
2012-06-11,1770 ,0,0
2012-06-12,1741 ,0,0
2012-06-13,1745 ,0,0
2012-06-14,1765 ,3,0
2012-06-15,1765 ,3,0
2012-06-16,0 ,0,0
2012-06-17,0 ,0,0
2012-06-18,1736 ,0,0
2012-06-19,1749 ,4,0
2012-06-20,1735 ,5,0
2012-06-21,1702 ,14,2
2012-06-22,1702 ,8,1
2012-06-23,0 ,0,0
2012-06-24,0 ,0,0
2012-06-25,1668 ,10,0
2012-06-26,1673 ,0,0
2012-06-27,1673 ,6,0
2012-06-28,1758 ,6,0
2012-06-29,1761 ,2,0
2012-06-30,0 ,0,0
2012-07-01,0 ,0,0
2012-07-02,1797 ,5,0
2012-07-03,1797 ,0,0
2012-07-04,1754 ,0,0
2012-07-05,1564 ,0,0
2012-07-06,1636 ,0,0
2012-07-07,0 ,0,0
2012-07-08,0 ,0,0
2012-07-09,1640 ,0,0
2012-07-10,1645 ,0,0
2012-07-11,1659 ,2,0
2012-07-12,1645 ,0,0
2012-07-13,1656 ,0,0
2012-07-14,0 ,0,0
2012-07-15,0 ,0,0
2012-07-16,1641 ,0,0
2012-07-17,1641 ,4,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
