date,snow,cold,price
2012-12-06,3,1,1948 
2012-12-07,0,0,1949 
2012-12-08,0,0,0 
2012-12-09,0,0,0 
2012-12-10,0,0,1952 
2012-12-11,0,1,1949 
2012-12-12,0,0,1949 
2012-12-13,0,0,1887 
2012-12-14,0,0,1887 
2012-12-15,0,0,0 
2012-12-16,0,0,0 
2012-12-17,0,0,1888 
2012-12-18,0,0,1854 
2012-12-19,0,0,0 
2012-12-20,0,0,1914 
2012-12-21,0,0,1928 
2012-12-22,0,0,0 
2012-12-23,0,0,0 
2012-12-24,0,0,1941 
2012-12-25,0,0,0 
2012-12-26,0,0,1944 
2012-12-27,0,0,2068 
2012-12-28,1,1,2068 
2012-12-29,0,0,0 
2012-12-30,0,0,0 
2012-12-31,0,1,2082 
2013-01-01,0,0,0 
2013-01-02,0,0,2091 
2013-01-03,0,1,2063 
2013-01-04,1,2,2005 
2013-01-05,0,0,0 
2013-01-06,0,0,0 
2013-01-07,0,0,1986 
2013-01-08,0,0,1991 
2013-01-09,0,0,1992 
2013-01-10,0,0,2094 
2013-01-11,0,0,2168 
2013-01-12,0,0,0 
2013-01-13,0,0,0 
2013-01-14,0,6,2211 
2013-01-15,0,0,2211 
2013-01-16,1,1,2119 
2013-01-17,0,0,2078 
2013-01-18,0,0,2089 
2013-01-19,0,0,0 
2013-01-20,0,0,0 
2013-01-21,0,0,2149 
2013-01-22,0,0,2149 
2013-01-23,0,0,2147 
2013-01-24,0,0,2257 
2013-01-25,0,0,2258 
2013-01-26,0,0,0 
2013-01-27,0,0,0 
2013-01-28,0,0,2283 
2013-01-29,0,0,2293 
2013-01-30,0,0,2293 
2013-01-31,0,0,2340 
2013-02-01,2,3,2343 
2013-02-02,0,0,0 
2013-02-03,0,0,0 
2013-02-04,0,0,2362 
2013-02-05,0,0,2386 
2013-02-06,0,0,2437 
2013-02-07,2,2,2596 
2013-02-08,0,0,2608 
2013-02-09,0,0,0 
2013-02-10,0,0,0 
2013-02-11,0,0,0 
2013-02-12,0,2,2625 
2013-02-13,0,0,2625 
2013-02-14,0,0,2676 
2013-02-15,0,0,2716 
2013-02-16,0,0,0 
2013-02-17,0,0,0 
2013-02-18,0,1,2747 
2013-02-19,0,2,2808 
2013-02-20,1,1,2819 
2013-02-21,0,0,2921 
2013-02-22,0,0,2927 
2013-02-23,0,0,0 
2013-02-24,0,0,0 
2013-02-25,0,0,2941 
2013-02-26,0,1,2981 
2013-02-27,0,1,2981 
2013-02-28,3,4,2924 
2013-03-01,0,0,0 
2013-03-02,0,0,0 
2013-03-03,0,0,0 
2013-03-04,1,1,2826 
2013-03-05,0,0,2725 
2013-03-06,0,1,2730 
2016-04-25,0,0,2410 
2016-04-26,0,0,2350 
2016-04-27,0,0,2332 
2016-04-28,0,1,2050 
2016-04-29,0,0,2002 
2016-04-30,0,0,0 
2016-05-01,0,0,0 
2016-05-02,0,0,1962 
2016-05-03,1,1,1951 
2016-05-04,0,0,1894 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
